F_1,F_2,F_3
0.489895897,0.169014085,0.341090018
0.256163945,0.731348063,0.012487992
0.299513291,0.375140397,0.325346312
0.64,0.2672,0.0928
0.230348402,0.511949323,0.257702275
0.009207891,0.526115881,0.464676228
0.422609614,0.014791337,0.562599049
0.583515682,0.052516411,0.363967907
0.176211454,0.583700441,0.240088106
0.194033471,0.366238176,0.439728353
0.193610842,0.428363988,0.378025169
0.048163757,0.527031908,0.424804335
0.088691796,0.433924612,0.477383592
0.500625782,0.077596996,0.421777222
0.059545962,0.725269818,0.21518422
0.101176173,0.435057544,0.463766283
0.513149455,0.345093008,0.141757537
0.40526849,0.277608916,0.317122594
0.092176518,0.438068902,0.46975458
0.181694299,0.45514422,0.363161481
0.059826503,0.535895902,0.404277595
0.21214532,0.559002917,0.228851763
0.575539568,0.064748201,0.35971223
0.250078149,0.395748671,0.354173179
0.430570506,0.020452099,0.548977395
0.559049616,0.081062194,0.35988819
0.397219464,0.296921549,0.305858987
0.199302441,0.265072247,0.535625311
0.199004975,0.434328358,0.366666667
0.139203062,0.274578041,0.586218897
0.412796698,0.182662539,0.404540764
0.448681997,0.426247897,0.125070107
0.183108263,0.436255436,0.380636301
0.418848168,0.22617801,0.354973822
0.35180299,0.361477573,0.286719437
0.10453417,0.531817588,0.363648243
0.141193082,0.576067773,0.282739146
0.209424084,0.376963351,0.413612565
0.407124682,0.333842239,0.259033079
0.563777308,0.060606061,0.375616631
0.099366538,0.648118246,0.252515216
0.226500566,0.415628539,0.357870895
0.065892431,0.799439914,0.134667655
0.351339482,0.274923144,0.373737374
0.847457627,0.021186441,0.131355932
0.324280503,0.399675719,0.276043778
0.553633218,0.380622837,0.065743945
0.112691928,0.408226511,0.479081561
0.466472303,0.177259475,0.356268222
0.061919505,0.48869969,0.449380805
0.162271805,0.281947262,0.555780933
0.144222102,0.110329908,0.74544799
0.379867047,0.088319088,0.531813865
0.508259212,0.067344346,0.424396442
0.409836066,0.199795082,0.390368852
0.519143413,0.051914341,0.428942245
0.328137818,0.048400328,0.623461854
0.512163892,0.087067862,0.400768246
0.554785021,0.094313454,0.350901526
0.718778077,0.064690027,0.216531896
0.764818356,0.118546845,0.116634799
0.835945664,0.104493208,0.059561129
0.767018217,0.065196548,0.167785235
0.053379596,0.358043638,0.588576767
0.2081707,0.194119178,0.597710122
0.072753729,0.476536923,0.450709349
0.096420393,0.343979752,0.559599855
0.078308536,0.23981989,0.681871574
0.048163757,0.415653221,0.536183022
0.041673178,0.438089285,0.520237537
0.042996883,0.43889068,0.518112437
0.033318063,0.463037774,0.503644163
0.052318357,0.396573148,0.551108495
0.0833073,0.237009268,0.679683432
0.256986829,0.104079666,0.638933505
0.618716164,0.054137664,0.327146172
0.529100529,0.242063492,0.228835979
0.638467678,0.145251397,0.216280926
0.512820513,0.167948718,0.319230769
0.662800331,0.142502071,0.194697597
0.476758045,0.231227652,0.292014303
0.327600328,0.221949222,0.45045045
0.435019032,0.178357803,0.386623165
0.096142291,0.535512559,0.368345151
0.169133192,0.261733615,0.569133192
0.418191323,0.192368008,0.389440669
0.353669319,0.24403183,0.402298851
0.597907324,0.031390135,0.370702541
0.456100342,0.207525656,0.336374002
